experiment,difficulty,question,context_precision,context_recall,faithfulness,answer_relevance,answer_correctness,retrieval_prec@5,retrieval_rec@5,rouge_l
1,easy,¿Qué forma de gobierno adopta la Nación Argentina?,1.0,0.8591292500495911,0.8899111151695251,0.8910999298095703,0.8971071243286133,1.0,1.0,0.5116279069767442
1,easy,¿Qué culto sostiene el Gobierno federal?,1.0,0.8159359097480774,0.8855215311050415,0.8826757669448853,0.9199191331863403,1.0,1.0,0.6206896551724138
1,easy,¿Dónde residen las autoridades del Gobierno federal?,1.0,0.848446249961853,0.8929356932640076,0.8623940944671631,0.9064693450927734,1.0,1.0,0.24778761061946905
1,easy,¿Con qué fondos provee el Gobierno federal los gastos de la Nación?,1.0,0.8549269437789917,0.8993513882160187,0.9046907424926758,0.8984737396240234,1.0,1.0,0.05787781350482314
1,easy,¿Qué deben asegurar las provincias en sus propias constituciones?,1.0,0.8234137296676636,0.8867194652557373,0.8524882793426514,0.8976715803146362,1.0,1.0,0.17511520737327188
1,easy,¿En qué casos puede el Gobierno federal intervenir en una provincia?,1.0,0.838111400604248,0.8921937346458435,0.9012749195098877,0.8975323438644409,1.0,1.0,0.1796875
1,easy,¿Qué validez tienen los actos públicos de una provincia en las demás?,1.0,0.8264071941375732,0.8815320432186127,0.8574324250221252,0.8491010665893555,1.0,1.0,0.11578947368421051
1,easy,¿Qué derechos tienen los ciudadanos de una provincia en otra?,1.0,0.8357676267623901,0.8871771693229675,0.8765822649002075,0.8807357549667358,1.0,1.0,0.28622540250447226
1,easy,¿Cuántas aduanas puede haber en el territorio nacional?,1.0,0.8053550124168396,0.8648753464221954,0.8535046577453613,0.8745796084403992,1.0,1.0,0.07725321888412018
1,easy,¿Es libre la circulación de productos nacionales dentro de la República?,1.0,0.7929506301879883,0.8590628802776337,0.9076138734817505,0.8497593998908997,1.0,1.0,0.1282051282051282
