experiment,difficulty,question,context_recall,faithfulness,answer_relevance,answer_correctness,rouge_l
1,easy,¿Qué forma de gobierno adopta la Nación Argentina?,0.8591292500495911,0.8899111151695251,0.8910999298095703,0.8971071243286133,0.5116279069767442
1,easy,¿Qué culto sostiene el Gobierno federal?,0.8159359097480774,0.8855215311050415,0.8826757669448853,0.9199191331863404,0.6206896551724138
1,easy,¿Dónde residen las autoridades del Gobierno federal?,0.848446249961853,0.8929356932640076,0.8623940944671631,0.9064693450927734,0.247787610619469
1,easy,¿Con qué fondos provee el Gobierno federal los gastos de la Nación?,0.8549269437789917,0.8993513882160187,0.9046907424926758,0.8984737396240234,0.0578778135048231
1,easy,¿Qué deben asegurar las provincias en sus propias constituciones?,0.8234137296676636,0.8867194652557373,0.8524882793426514,0.8976715803146362,0.1751152073732718
1,easy,¿En qué casos puede el Gobierno federal intervenir en una provincia?,0.838111400604248,0.8921937346458435,0.9012749195098876,0.8975323438644409,0.1796875
1,easy,¿Qué validez tienen los actos públicos de una provincia en las demás?,0.8264071941375732,0.8815320432186127,0.8574324250221252,0.8491010665893555,0.1157894736842105
1,easy,¿Qué derechos tienen los ciudadanos de una provincia en otra?,0.8357676267623901,0.8871771693229675,0.8765822649002075,0.8807357549667358,0.2862254025044722
1,easy,¿Cuántas aduanas puede haber en el territorio nacional?,0.8053550124168396,0.8648753464221954,0.8535046577453613,0.8745796084403992,0.0772532188841201
1,easy,¿Es libre la circulación de productos nacionales dentro de la República?,0.7929506301879883,0.8590628802776337,0.9076138734817504,0.8497593998908997,0.1282051282051282
1,easy,¿Pueden imponerse derechos de tránsito a mercaderías entre provincias?,0.8024404644966125,0.8994559049606323,0.9338604211807252,0.8982843160629272,0.0492957746478873
1,easy,¿Se puede obligar a buques de una provincia a pagar derechos de tránsito en otro puerto?,0.7793207168579102,0.839365690946579,0.9095476865768432,0.8288375735282898,0.2346938775510204
1,easy,¿Puede crearse una nueva provincia sin consentimiento de la provincia afectada?,0.8103177547454834,0.8405515551567078,0.9027576446533204,0.8461630344390869,0.0246913580246913
1,easy,Mencione dos derechos reconocidos en el artículo 14.,0.8171137571334839,0.8470378518104553,0.8310202360153198,0.8606810569763184,0.3624161073825503
1,easy,¿Qué garantiza el artículo 14 bis respecto de la jornada laboral?,0.8131810426712036,0.8556654453277588,0.9095840454101562,0.8935531377792358,0.3846153846153846
1,easy,¿Existen esclavos en la Nación Argentina según la Constitución?,0.8296604752540588,0.8868207931518555,0.9107574820518494,0.916487455368042,0.1613691931540342
1,easy,¿Reconoce la Constitución títulos de nobleza?,0.8201152682304382,0.8642929196357727,0.8412578105926514,0.8654840588569641,0.3259259259259259
1,easy,¿Qué requisito establece la Constitución para expropiar una propiedad?,0.868125855922699,0.8959624469280243,0.8468841314315796,0.928663730621338,0.7262569832402235
